,ts_code,symbol,name
652,002200.SZ,002200,ST云投
653,002201.SZ,002201,九鼎新材
654,002202.SZ,002202,金风科技
655,002203.SZ,002203,海亮股份
656,002204.SZ,002204,大连重工
657,002205.SZ,002205,国统股份
658,002206.SZ,002206,海利得
659,002207.SZ,002207,准油股份
660,002208.SZ,002208,合肥城建
661,002209.SZ,002209,达意隆
662,002210.SZ,002210,*ST飞马
663,002211.SZ,002211,宏达新材
664,002212.SZ,002212,天融信
665,002213.SZ,002213,大为股份
666,002214.SZ,002214,大立科技
667,002215.SZ,002215,诺普信
668,002216.SZ,002216,三全食品
669,002217.SZ,002217,合力泰
670,002218.SZ,002218,拓日新能
671,002219.SZ,002219,*ST恒康
672,002221.SZ,002221,东华能源
673,002222.SZ,002222,福晶科技
674,002223.SZ,002223,鱼跃医疗
675,002224.SZ,002224,三力士
676,002225.SZ,002225,濮耐股份
677,002226.SZ,002226,江南化工
678,002227.SZ,002227,奥特迅
679,002228.SZ,002228,合兴包装
680,002229.SZ,002229,鸿博股份
681,002230.SZ,002230,科大讯飞
682,002231.SZ,002231,奥维通信
683,002232.SZ,002232,启明信息
684,002233.SZ,002233,塔牌集团
685,002234.SZ,002234,民和股份
686,002235.SZ,002235,安妮股份
687,002236.SZ,002236,大华股份
688,002237.SZ,002237,恒邦股份
689,002238.SZ,002238,天威视讯
690,002239.SZ,002239,奥特佳
691,002240.SZ,002240,盛新锂能
692,002241.SZ,002241,歌尔股份
693,002242.SZ,002242,九阳股份
694,002243.SZ,002243,力合科创
695,002244.SZ,002244,滨江集团
696,002245.SZ,002245,蔚蓝锂芯
697,002246.SZ,002246,北化股份
698,002247.SZ,002247,*ST聚力
699,002248.SZ,002248,华东数控
700,002249.SZ,002249,大洋电机
701,002250.SZ,002250,联化科技
702,002251.SZ,002251,步步高
703,002252.SZ,002252,上海莱士
704,002253.SZ,002253,川大智胜
705,002254.SZ,002254,泰和新材
706,002255.SZ,002255,*ST海陆
707,002256.SZ,002256,*ST兆新
708,002258.SZ,002258,利尔化学
709,002259.SZ,002259,*ST升达
710,002261.SZ,002261,拓维信息
711,002262.SZ,002262,恩华药业
712,002263.SZ,002263,大东南
713,002264.SZ,002264,新华都
714,002265.SZ,002265,西仪股份
715,002266.SZ,002266,浙富控股
716,002267.SZ,002267,陕天然气
717,002268.SZ,002268,卫士通
718,002269.SZ,002269,美邦服饰
719,002270.SZ,002270,华明装备
720,002271.SZ,002271,东方雨虹
721,002272.SZ,002272,川润股份
722,002273.SZ,002273,水晶光电
723,002274.SZ,002274,华昌化工
724,002275.SZ,002275,桂林三金
725,002276.SZ,002276,万马股份
726,002277.SZ,002277,友阿股份
727,002278.SZ,002278,神开股份
728,002279.SZ,002279,久其软件
729,002280.SZ,002280,*ST联络
730,002281.SZ,002281,光迅科技
731,002282.SZ,002282,博深股份
732,002283.SZ,002283,天润工业
733,002284.SZ,002284,亚太股份
734,002285.SZ,002285,世联行
735,002286.SZ,002286,保龄宝
736,002287.SZ,002287,奇正藏药
737,002288.SZ,002288,超华科技
738,002289.SZ,002289,ST宇顺
739,002290.SZ,002290,ST禾盛
740,002291.SZ,002291,星期六
741,002292.SZ,002292,奥飞娱乐
742,002293.SZ,002293,罗莱生活
743,002294.SZ,002294,信立泰
744,002295.SZ,002295,精艺股份
745,002296.SZ,002296,辉煌科技
746,002297.SZ,002297,博云新材
747,002298.SZ,002298,中电兴发
748,002299.SZ,002299,圣农发展
749,002300.SZ,002300,太阳电缆
750,002301.SZ,002301,齐心集团
751,002302.SZ,002302,西部建设
752,002303.SZ,002303,美盈森
753,002304.SZ,002304,洋河股份
754,002305.SZ,002305,南国置业
755,002306.SZ,002306,ST云网
756,002307.SZ,002307,北新路桥
757,002308.SZ,002308,威创股份
758,002309.SZ,002309,中利集团
759,002310.SZ,002310,东方园林
760,002311.SZ,002311,海大集团
761,002312.SZ,002312,三泰控股
762,002313.SZ,002313,日海智能
763,002314.SZ,002314,南山控股
764,002315.SZ,002315,焦点科技
765,002316.SZ,002316,亚联发展
766,002317.SZ,002317,众生药业
767,002318.SZ,002318,久立特材
768,002319.SZ,002319,乐通股份
769,002320.SZ,002320,海峡股份
770,002321.SZ,002321,华英农业
771,002322.SZ,002322,理工环科
